City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,namanga,-2.5433,36.7905,67.55,73,98,4.83,KE,1643592150
137,maralal,1.0968,36.698,58.66,77,93,4.25,KE,1643592150
138,la peca,-5.6111,-78.435,70.79,81,100,4.41,PE,1643592151
139,verkhoyansk,67.5447,133.385,-36.9,100,84,1.59,RU,1643592151
140,abha,18.2164,42.5053,52.05,76,0,11.5,SA,1643592152
141,los llanos de aridane,28.6585,-17.9182,58.75,67,0,5.75,ES,1643591937
142,jibuti,11.5,42.5,69.22,74,62,13.73,DJ,1643592152
143,dicabisagan,17.0818,122.4157,73.81,87,86,12.35,PH,1643592153
144,concordia,-31.393,-58.0209,78.78,52,0,4.0,AR,1643591989
145,malindi,-3.2175,40.1191,75.78,86,87,6.87,KE,1643592154
146,byron bay,-28.65,153.6167,86.11,68,47,9.84,AU,1643592154
147,palmer,42.1584,-72.3287,11.86,68,0,0.0,US,1643592154
148,yenagoa,4.9247,6.2642,72.72,70,6,2.06,NG,1643592155
149,antsohihy,-14.8796,47.9875,74.82,93,33,3.27,MG,1643592155
150,nioro,13.35,-15.75,78.46,27,100,6.85,GM,1643592156
151,maniwaki,46.3834,-75.966,5.38,78,80,4.61,CA,1643592157
152,khingansk,49.1167,131.1833,-8.1,94,39,3.11,RU,1643592157
153,kyra,49.5776,111.9753,-10.59,92,11,4.41,RU,1643592158
154,digapahandi,19.3667,84.5833,59.25,56,0,2.91,IN,1643591960
155,calabozo,8.9242,-67.4293,81.52,34,26,6.4,VE,1643592158
156,souillac,-20.5167,57.5167,79.18,94,75,8.05,MU,1643591936
157,surt,31.2089,16.5887,56.82,66,81,15.68,LY,1643592159
158,policoro,40.2115,16.6726,46.58,84,0,1.01,IT,1643592160
159,ust-tsilma,65.441,52.1498,9.84,94,100,6.2,RU,1643591943
160,campo maior,-4.8278,-42.1686,74.14,82,89,2.91,BR,1643592160
161,nurota,40.5614,65.6886,30.29,70,100,7.14,UZ,1643592161
162,bosaso,11.2842,49.1816,72.16,78,90,2.62,SO,1643592161
163,sibenik,43.7272,15.9058,40.66,71,3,3.85,HR,1643592162
164,pemangkat,1.1667,108.9667,78.28,84,100,6.82,ID,1643592162
165,keti bandar,24.1447,67.4497,70.95,85,0,13.0,PK,1643592163
166,kasongo-lunda,-6.4667,16.8167,70.38,94,100,1.45,CD,1643592163
167,proletarsk,46.7031,41.7192,34.52,86,100,13.09,RU,1643592164
168,ust-maya,60.4167,134.5333,-26.48,99,100,0.87,RU,1643592165
169,saldanha,-33.0117,17.9442,65.35,91,100,6.22,ZA,1643592165
170,kangaatsiaq,68.3065,-53.4641,-6.14,93,96,11.12,GL,1643592166
171,kruisfontein,-34.0033,24.7314,64.89,96,100,3.13,ZA,1643591901
172,srednekolymsk,67.45,153.6833,-29.25,100,100,0.81,RU,1643592166
173,veles,41.7156,21.7756,27.05,83,2,4.18,MK,1643592167
174,manadhoo,5.7667,73.3833,82.31,74,91,12.88,MV,1643592167
175,santa fe,-31.6333,-60.7,69.91,89,0,2.08,AR,1643592168
176,rome,34.257,-85.1647,46.81,66,0,3.44,US,1643592168
177,harindanga,22.0383,88.3214,57.18,61,30,2.59,IN,1643592169
178,carora,10.1755,-70.0827,76.8,60,26,4.25,VE,1643592169
179,harlingen,26.1906,-97.6961,66.34,87,75,11.5,US,1643592170
180,zharkent,44.1628,80.0,22.06,73,73,4.65,KZ,1643592170
181,bagotville,-28.9833,153.4167,86.02,79,30,8.88,AU,1643592186
182,kutum,14.2,24.6667,51.31,18,4,8.9,SD,1643592187
183,adrar,20.5022,-10.0711,71.87,13,99,12.12,MR,1643592187
184,bilma,18.6853,12.9164,53.91,21,0,15.03,NE,1643592188
185,arkhangelsk,64.5401,40.5433,15.91,100,100,2.24,RU,1643591975
186,zhuhai,22.2769,113.5678,58.05,76,40,19.57,CN,1643592189
187,chimore,-16.9833,-65.1333,76.15,80,80,2.68,BO,1643592189
188,rawson,-43.3002,-65.1023,60.53,31,69,9.35,AR,1643592120
189,methoni,36.8197,21.7049,47.21,68,0,17.02,GR,1643592190
190,hauterive,46.0901,3.4459,43.56,96,47,3.06,FR,1643592190
191,pareora,-44.4871,171.2132,74.17,67,26,13.82,NZ,1643592191
192,maceo,6.552,-74.7874,64.33,94,100,3.67,CO,1643592192
193,ponta delgada,37.7333,-25.6667,59.5,82,20,14.97,PT,1643592193
194,besskorbnaya,44.6447,41.311,26.4,80,99,7.49,RU,1643592193
195,sandpoint,48.2766,-116.5533,33.71,91,100,0.0,US,1643592194
196,beberibe,-4.1797,-38.1306,82.44,81,25,13.33,BR,1643592194
197,salalah,17.0151,54.0924,68.09,60,0,3.44,OM,1643592033
198,vaitape,-16.5167,-151.75,81.01,68,0,10.49,PF,1643592195
199,kupang,-10.1667,123.5833,84.78,79,40,12.66,ID,1643592196
200,mackay,-21.15,149.2,82.08,75,36,11.36,AU,1643592196
201,bonavista,48.6499,-53.1147,37.11,75,61,33.4,CA,1643592197
202,kirkwood,38.5834,-90.4068,32.99,64,100,1.01,US,1643592197
